8:41:02 AM  [main] 	Initializing Control Panel
8:41:02 AM  [main] 	Windows Version:  Enterprise  64-bit
8:41:02 AM  [main] 	XAMPP Version: 7.4.27
8:41:02 AM  [main] 	Control Panel Version: 3.3.0  [ Compiled: Apr 6th 2021 ]
8:41:02 AM  [main] 	You are not running with administrator rights! This will work for
8:41:02 AM  [main] 	most application stuff but whenever you do something with services
8:41:02 AM  [main] 	there will be a security dialogue or things will break! So think 
8:41:02 AM  [main] 	about running this application with administrator rights!
8:41:02 AM  [main] 	XAMPP Installation Directory: "c:\own\xamp\"
8:41:02 AM  [main] 	Checking for prerequisites
8:41:03 AM  [main] 	All prerequisites found
8:41:03 AM  [main] 	Initializing Modules
8:41:03 AM  [main] 	Starting Check-Timer
8:41:03 AM  [main] 	Control Panel Ready
8:41:06 AM  [Apache] 	Attempting to start Apache app...
8:41:06 AM  [Apache] 	Status change detected: running
8:41:07 AM  [mysql] 	Attempting to start MySQL app...
8:41:07 AM  [mysql] 	Status change detected: running
12:53:26 PM  [Apache] 	Attempting to stop Apache (PID: 4916)
12:53:26 PM  [Apache] 	Attempting to stop Apache (PID: 6680)
12:53:26 PM  [Apache] 	Status change detected: stopped
12:53:26 PM  [mysql] 	Attempting to stop MySQL app...
12:53:27 PM  [mysql] 	Status change detected: stopped
12:53:37 PM  [main] 	Deinitializing Modules
12:53:37 PM  [main] 	Deinitializing Control Panel

